순번,이름,주소,메모,위도,경도,등록일
1,"블루핸즈 운서점","인천 중구 은골로 77  (운서동)","",,,"2017-07-31 09:58:11"
2,"맹쿤","서울 마포구 홍익로 17 4층 (서교동)","",,,"2017-10-22 11:32:29"
3,"6016","서울","",,,"2019-02-17 08:33:54"
4,"대우효령아파트","서울 서초구 방배2동","",,,"2019-02-17 08:33:42"
5,"라마다강원속초호텔","강원 속초시 대포항희망길 106 (대포동)","",,,"2019-01-18 11:41:18"
6,"만석닭강정 본점","강원 속초시 청초호반로 72 (조양동)","",,,"2019-01-18 11:40:44"
7,"M5422","경기 광주시","",,,"2018-11-13 08:36:51"
8,"스타벅스 수원IC DT점","경기 용인시 기흥구 중부대로 56 (영덕동)","",,,"2018-04-09 20:38:40"
9,"방일해장국 영통점","경기 수원시 영통구 영통로 293 (신동)","",,,"2018-04-03 23:57:06"
10,"더 판타지움","경기 수원시 영통구 덕영대로 1566 (영통동)","",,,"2018-04-03 23:56:26"
11,"칠암항","부산 기장군 일광면 칠암리","",,,"2018-02-15 23:30:13"
12,"힐튼 부산","부산 기장군 기장읍 기장해안로 268-32 (기장읍 시랑리)","",,,"2018-02-15 23:29:30"
13,"더이스트인부산","부산 기장군 기장읍 기장해안로 266 (기장읍 시랑리)","",,,"2018-02-15 23:29:17"
14,"해운대해수욕장","부산 해운대구 중동 1015","",,,"2018-02-15 23:28:28"
15,"더베이101","부산 해운대구 동백로 52 (우동)","",,,"2018-02-15 23:28:17"
16,"송도해상케이블카 송도스카이파크","부산 서구 암남공원로 181 (암남동)","",,,"2018-02-15 23:27:41"
17,"송도해상케이블카 송도베이스테이션","부산 서구 송도해변로 171 (암남동)","",,,"2018-02-15 23:27:19"
18,"불꽃상회 영통점","경기 수원시 영통구 청명남로34번길 21 영통테라스가든주차빌딩 2층 213호 (영통동)","",,,"2017-12-08 17:21:57"
19,"영통역 분당선","경기도 수원시 영통구 영통동 994-1","",,,"2017-12-08 12:17:52"
20,"돌체파르니엔","경기 양평군 옥천면 용천로 58 (옥천면 용천리)","",,,"2021-08-15 08:22:25"
21,"옥천함흥냉면 본점","경기 양평군 옥천면 북부길 18 (옥천면 옥천리)","",,,"2021-08-15 08:22:43"
22,"본가양평해장국","경기 양평군 강상면 강남로 837-1 (강상면 병산리)","",,,"2021-08-15 08:24:09"
23,"여의도떡방","경기 양평군 양평읍 양근로 194-1 (양평읍 양근리)","",,,"2021-08-16 22:05:43"
24,"이모네해물보쌈 교대점","서울 서초구 서초중앙로22길 28 (서초동)","",,,"2021-09-18 17:38:14"
25,"광교엘포트아이파크오피스텔","경기 수원시 영통구 광교중앙로 145 (이의동)","",,,"2021-09-18 23:35:49"
26,"케이씨씨골프아카데미","경기 수원시 팔달구 권광로 267 (인계동)","",,,"2021-11-15 15:59:08"
27,"스타벅스 수원KBS DT점","경기 수원시 팔달구 권광로 265 (인계동)","",,,"2021-11-15 15:59:53"
28,"코이라멘 정자본점","경기 성남시 분당구 정자로 13 월드비터 1층 102호 (정자동)","",,,"2022-02-06 11:21:13"
29,"을지로조명상가","서울 중구 을지로 지하 129 (을지로3가)","",,,"2022-02-24 10:01:07"
30,"얀쿠브레","서울 마포구 양화로21길 23 (동교동)","",,,"2022-02-24 17:37:16"
31,"멘야고코로","경기 수원시 영통구 월드컵로179번길 16 1층 (원천동)","",,,"2022-03-15 19:56:03"
32,"수원월드컵경기장.아름학교","경기 수원시 팔달구 우만1동","",,,"2022-04-18 08:27:47"
33,"우리회포차 사당점","서울 동작구 사당로30길 148 1층 (사당동)","",37.47828662,126.98062657,"2022-12-11 18:13:39"
34,"케이헤밍웨이베이커리&다이닝 분당점","경기 성남시 분당구 대왕판교로34번길 21 (금곡동)","",37.34843579,127.1024436,"2023-01-20 18:51:16"
35,"송림식당","서울 광진구 자양번영로 79 (자양동)","",37.53668825,127.07640455,"2023-01-21 10:22:31"
36,"명동커피","서울 중구 명동길 81 (저동1가)","",37.56447737,126.98658055,"2023-01-23 10:09:59"
37,"오션블루 가덕휴게소","부산 강서구 거가대로 2571 (천성동)","",35.02337241,128.80732633,"2023-01-24 10:57:14"
38,"청담동대구뽈찜아구찜","경남 거제시 옥포대첩로 26 (옥포동)","",34.89323314,128.69041416,"2023-01-24 10:57:51"
39,"옹기종기","경남 거제시 거제대로 3427 (아주동)","",34.86661932,128.69516609,"2023-01-24 11:03:47"
40,"거제씨월드","경남 거제시 일운면 지세포해안로 15 (일운면 소동리)","",34.8358811,128.7014614,"2023-01-24 11:05:12"
41,"금풍","경남 거제시 장승포로 6 (장승포동)","",34.867418,128.72501101,"2023-01-24 13:34:22"
42,"바람의언덕","경남 거제시 남부면 갈곶리 산 14-47 도장포마을","",34.74462102,128.66314918,"2023-01-24 18:49:51"
43,"다람쥐할머니","경기 화성시 비봉면 비봉로 165 (비봉면 양노리)","",37.2348991,126.86312156,"2023-01-24 18:57:56"
44,"원조부산밀면","부산 동구 중앙대로231번길 7 1층 (초량동)","",35.11783592,129.04052207,"2023-01-25 09:41:19"
45,"서대문형무소역사관","서울 서대문구 통일로 251 (현저동)","",37.57450354,126.95631754,"2023-01-25 09:46:10"
46,"명품물회 송정본점","부산 기장군 기장읍 기장해안로 34-20 (기장읍 시랑리)","",35.1827266,129.21113873,"2023-01-25 14:35:41"
47,"쉐이크쉑 서면점","부산 부산진구 중앙대로 672 삼정타워 1층 (부전동)","",35.15305914,129.05946754,"2023-01-26 10:39:28"
48,"보영만두 서초교대점","서울 서초구 서초대로56길 28 1층 103호 (서초동)","",37.49327612,127.01722201,"2023-01-30 10:11:57"
49,"황생가칼국수","서울 종로구 북촌로5길 78 (소격동)","",37.58006016,126.98064099,"2023-01-30 16:47:49"
50,"안동집","서울 동대문구 고산자로36길 3 경동시장 신관지하1층 8-2호 (제기동)","",37.57975964,127.03941072,"2023-01-30 16:51:43"
51,"할머니냉면","서울 동대문구 왕산로37길 51 (제기동)","",37.5822701,127.04370058,"2023-01-30 17:44:14"
52,"광주식당","서울 동대문구 경동시장로2길 49-4 (청량리동)","",37.58056179,127.04378563,"2023-01-30 17:45:03"
53,"남궁야","서울 서초구 방배천로4안길 10 (방배2동)","",37.47846363,126.98338964,"2023-01-31 16:05:45"
54,"미소네","서울 동작구 동작대로7길 32 (사당동)","",37.47933172,126.98021025,"2023-01-31 16:05:57"
55,"전주전집","서울 동작구 동작대로7길 19 (사당동)","",37.47965255,126.98064883,"2023-01-31 16:06:22"
56,"요란한부엌","서울 동작구 사당로30길 126 1층 (사당동)","",37.47922006,126.98063311,"2023-01-31 16:06:39"
57,"스시라쿠","경기 수원시 영통구 권선로908번길 47 드림타워 1층 107호 (신동)","",37.24685642,127.04453181,"2023-02-02 12:32:28"
58,"공순대","부산 중구 중구로29번길 18-5 (부평동1가)","",35.10062733,129.02686981,"2023-02-04 22:02:05"
59,"개미집 부산본점","부산 중구 중구로30번길 20-2 (신창동1가)","",35.1005139,129.02998556,"2023-02-04 22:02:34"
60,"원조부산족발","부산 중구 광복로 13-1 (부평동1가)","",35.0995893,129.02664673,"2023-02-04 22:03:14"
61,"왕대박숯불갈비","부산 중구 중구로23번길 16-1 (부평동1가)","",35.10008818,129.02699243,"2023-02-04 22:04:00"
62,"이재모피자","부산 중구 광복중앙로 31 중앙아파트상가 2층 (신창동1가)","",35.10204215,129.03074719,"2023-02-04 22:06:06"
63,"춘하추동밀면 서면본점","부산 부산진구 서면문화로 48-1 (부전동)","",35.16146732,129.05552278,"2023-02-05 15:43:03"
64,"장수국밥","부산 부산진구 새싹로29번길 8 (부전1동)","",35.16030696,129.05656457,"2023-02-05 15:46:01"
65,"도시농가코페 도코","부산 부산진구 중앙대로666번길 17 (부전동)","",35.15228493,129.06026875,"2023-02-05 15:49:29"
66,"윙스탑 강남점","서울 강남구 봉은사로2길 20 (역삼동)","",37.50336945,127.02571774,"2023-02-06 14:27:56"
67,"연밀","경기 수원시 팔달구 창룡대로8번길 10 1층 (팔달로1가)","",37.28133739,127.01738784,"2023-02-06 14:40:09"
68,"수원만두","경기 수원시 팔달구 창룡대로8번길 6 1층 (팔달로1가)","",37.28152481,127.01736984,"2023-02-06 14:40:29"
69,"하이디라오 강남점","서울 서초구 서초대로77길 54 서초W타워 2층 (서초동)","",37.50256595,127.02480366,"2023-02-06 16:02:21"
70,"풍미연","서울 노원구 노해로85길 7 (상계동)","",37.6556981,127.06483116,"2023-02-08 12:58:39"
71,"풍성진감자탕","서울 노원구 노해로83길 10-11 (상계동)","",37.65600171,127.06487789,"2023-02-08 12:59:58"
72,"더블린","서울 강남구 강남대로 442 2층 (역삼동)","",37.50202859,127.02646369,"2023-02-15 20:59:48"
73,"에이닷영어학원 대치지점","서울 강남구 도곡로 423 윤성빌딩 2층 (대치동)","",37.49782283,127.05676934,"2023-02-16 12:48:41"
74,"무교동낙지 강남역삼점","서울 강남구 테헤란로4길 46 쌍용플레티늄상가 지하1층 137호 (역삼동)","",37.4952826,127.03082629,"2023-02-17 15:41:46"
75,"이태원천상 강남역점","서울 서초구 서초대로74길 23 트라펠리스 지하1층 (서초동)","",37.49565293,127.02710827,"2023-02-17 18:01:11"
76,"선향정샤브샤브","서울 서초구 강남대로55길 24 (서초동)","",37.49567129,127.02555226,"2023-02-17 18:02:27"
77,"롯데시네마 브로드웨이","서울 강남구 도산대로 118 (논현동)","",37.51664386,127.02170559,"2023-02-19 08:09:57"
78,"어머니대성집","서울 동대문구 왕산로11길 4 (용두동)","",37.57741837,127.02858467,"2023-02-21 21:52:00"
79,"킹수제만두","서울 동대문구 한빛로 3 1층 (신설동)","",37.57648413,127.0241444,"2023-02-21 21:53:23"
80,"밀도 강남점","서울 서초구 강남대로 419 파고다타워 1층 (서초동)","",37.49980767,127.02620167,"2023-03-08 13:21:33"
81,"르프리크","서울 성동구 연무장5길 9-16 B103호 (성수동2가)","",37.54443902,127.05265861,"2023-03-11 06:28:26"
82,"원조정할머니 기름떡볶이","서울 종로구 자하문로11길 40 통인시장 (통인동)","",37.58059856,126.9700986,"2023-03-12 14:42:58"
83,"오레노라멘 송파점","서울 송파구 백제고분로45길 17-3 1층 102호 (송파동)","",37.50955652,127.1094304,"2023-03-12 15:05:32"
84,"강릉역","강원 강릉시 용지로 176 (교동)","",37.76452356,128.89962755,"2023-03-12 15:08:26"
85,"간절곶수산 2호점","경기 군포시 군포로741번길 10 (산본동)","",37.37097731,126.94222,"2023-03-14 11:00:23"
86,"동산참숯갈비","경기 수원시 영통구 영통로 305 (매탄3동)","",37.25342641,127.06156767,"2023-03-15 10:12:22"
87,"골프존파크 매탄라이프골프점","경기 수원시 영통구 효원로 400 6층 (매탄동)","",37.25805425,127.04542444,"2023-03-15 15:28:30"
88,"아나바스시앤누들","경기 성남시 분당구 대왕판교로606번길 58 판교푸르지오월드마크 1층 104호 (삼평동)","",37.39513121,127.11353717,"2023-03-18 10:25:05"
89,"밥볶다 동판교점","경기 성남시 분당구 판교역로 240 삼환하이펙스A동 지하1층 (삼평동)","",37.40209723,127.11043951,"2023-03-18 10:29:13"
90,"클준빛날영","경기 성남시 분당구 판교역로 240 삼환하이펙스 A동 지하1층 126호 (삼평동)","",37.40209722,127.11045758,"2023-03-18 10:29:42"
91,"이황식당","경기 성남시 분당구 판교역로 230 삼환하이펙스 B동 1층 104호 (삼평동)","",37.40142077,127.1102228,"2023-03-18 10:31:16"
92,"계란집","경기 성남시 분당구 판교역로 230 지하 1층 (삼평동)","",37.40128992,127.11044284,"2023-03-18 10:32:50"
93,"장여사강릉짬뽕순두부","경기 성남시 분당구 대왕판교로 660 A동1층 107~109호 (삼평동)","",37.40099718,127.10641269,"2023-03-18 10:34:12"
94,"서울멸치쌈밥","경기 성남시 분당구 판교역로10번길 10-3 1층 (백현동)","",37.38457621,127.112094,"2023-03-18 10:41:34"
95,"파파라구","경기 성남시 분당구 판교역로10번길 22-3 1층 101,102호 (백현동)","",37.38571521,127.11197826,"2023-03-18 10:42:48"
96,"옥천옥","서울 동대문구 하정로 16 (신설동)","",37.57250833,127.026998,"2023-03-21 15:39:33"
97,"광교복합체육센터","경기 수원시 영통구 광교호수로 151 (하동)","",37.28223414,127.07031673,"2023-03-21 22:29:15"
98,"골프존플레이","경기 수원시 영통구 권선로908번길 30 4층 (신동)","",,,"2023-03-22 09:29:43"
99,"제주은희네해장국 예술의전당점","서울 서초구 반포대로12길 14 1층 (서초동)","",37.48467213,127.01214334,"2023-03-23 22:33:19"
100,"샤브향 서울서초남부점","서울 서초구 효령로 260 2층 (서초동)","",37.48404948,127.01265656,"2023-03-23 22:35:06"
101,"감미옥 본점","경기 성남시 분당구 탄천로 181 (야탑동)","",37.40881744,127.12282443,"2023-03-24 16:57:21"
102,"라마다서울신도림호텔","서울 구로구 경인로 624 (신도림동)","",37.50623232,126.88540809,"2023-03-24 19:59:26"
103,"평안도식당 강남본점","서울 강남구 봉은사로2길 13 화성빌딩 1층 (역삼동)","",37.50374423,127.02588977,"2023-03-26 13:18:55"
104,"남소관 우육도삭면","서울 강남구 테헤란로1길 19 로하스애비뉴빌딩 1,2층 (역삼동)","",37.49960284,127.02751682,"2023-03-26 13:20:14"
105,"광주식당","서울 종로구 지봉로2길 15 (창신동)","",37.57084147,127.01753642,"2023-03-26 21:51:56"
106,"광평평양냉면갈비 삼성점","서울 강남구 영동대로106길 45 (삼성동)","",37.51434218,127.06488514,"2023-03-27 22:18:26"
107,"길목","서울 강남구 영동대로129길 10 1층 (삼성동)","",37.51902632,127.05646301,"2023-03-27 22:19:45"
108,"이대성의 진면목","서울 강남구 삼성로100길 23-3 1층 (삼성동)","",37.5102385,127.05714973,"2023-03-27 22:28:39"
109,"중앙해장","서울 강남구 영동대로86길 17 육인빌딩 1층 (대치동)","",37.5082736,127.06547254,"2023-03-27 22:29:40"
110,"농민백암순대 본점","서울 강남구 선릉로86길 40-4 알앤지타운 1층 (대치동)","",37.50370815,127.05300772,"2023-03-27 22:33:14"
111,"복어촌 평촌역점","경기 안양시 동안구 시민대로 280 2층 (관양동)","",37.39433709,126.96181475,"2023-03-28 11:18:51"
112,"LG가산디지털센터","서울 금천구 가산디지털1로 189 (가산동)","",37.48216616,126.8796877,"2023-03-30 11:11:34"
113,"호서대벤처타워","서울 금천구 가산디지털1로 70 (가산동)","",37.47221802,126.8859484,"2023-03-30 11:11:54"
114,"서울 금천구 가산동 459-23","가산디지털2로 173","",37.483173,126.877068,"2023-03-30 11:12:58"
115,"종로계림 닭도리탕원조 가산디지털단지점","서울 금천구 가산디지털1로 142 가산 더스카이밸리 1차 2층 228,229호 (가산동)","",37.47840362,126.88335678,"2023-03-30 11:34:04"
116,"빛의시어터","서울 광진구 워커힐로 177 지하1층 (광장동)","",37.55563197,127.11031712,"2023-03-30 15:04:39"
117,"대가주점","경기 수원시 팔달구 매산로 1-10 1층 (매산로1가)","",37.26743019,127.00188052,"2023-03-31 21:36:05"
118,"보성양대창구이전문점","경기 수원시 팔달구 갓매산로56번길 13 1층 (고등동)","",37.26981424,127.00526517,"2023-03-31 21:38:31"
119,"유동골뱅이","경기 수원시 팔달구 행궁로 47 1층 (남창동)","",37.27840386,127.01553795,"2023-03-31 21:43:36"
120,"정철황소곱창 본점","경기 수원시 영통구 영통로130번길 42 (망포동)","",37.23965279,127.05851358,"2023-03-31 21:48:28"
121,"코랏","서울 마포구 월드컵로19길 14 1층 (망원동)","",37.55681284,126.90823738,"2023-04-01 08:34:12"
122,"육장","서울 마포구 월드컵로19길 74 지하2층 (망원동)","",37.55434671,126.90695477,"2023-04-01 08:34:41"
123,"가원","서울 마포구 월드컵로 65 (망원동)","",37.55486058,126.91085971,"2023-04-01 08:35:19"
124,"나나","서울 마포구 희우정로20길 75 1층 (망원동)","",37.55630162,126.90438554,"2023-04-01 08:36:16"
125,"멘야하나비 서울본점","서울 송파구 백제고분로45길 38 1층 103호 (송파동)","",37.510915,127.10772222,"2023-04-01 23:10:02"
126,"조박사토종순대국","서울 송파구 올림픽로35길 124 (신천동)","",37.51734535,127.10070698,"2023-04-01 23:11:57"
127,"더빛남","서울 송파구 오금로18길 5 1층 (송파동)","",37.51019134,127.11080895,"2023-04-01 23:19:26"
128,"그리지하우스","서울 송파구 백제고분로41길 43-17 1층 (송파동)","",37.50872806,127.10495032,"2023-04-01 23:25:18"
129,"화육계","서울 중구 을지로14길 21 (을지로3가)","",37.56528968,126.99225792,"2023-04-02 21:15:43"
130,"토리카미","서울 중구 충무로5길 21 1층 102호 (을지로3가)","",37.56532837,126.99148484,"2023-04-02 21:19:16"
131,"청와옥 을지로3가 직영점","서울 중구 을지로 110 1층 1호 (을지로3가)","",37.56601482,126.99005066,"2023-04-02 21:19:40"
132,"자코비버거","서울 용산구 신흥로 38 (용산동2가)","",37.54179755,126.98742194,"2023-04-02 21:45:03"
133,"더테이블키친","서울 용산구 이태원로54길 58-7 (한남동)","",37.5356624,127.00076032,"2023-04-02 21:48:54"
134,"쟈니덤플링 본관","서울 용산구 보광로59길 33 (이태원동)","",37.5338259,126.99212993,"2023-04-02 21:49:29"
135,"가마마루이","서울 서대문구 성산로22길 4 (창천동)","",37.56037243,126.93340442,"2023-04-02 21:55:21"
136,"기절초풍왕순대","서울 관악구 봉천로62길 2 1,2층 (봉천동)","",37.47813673,126.95843585,"2023-04-02 21:56:24"
137,"홍대돈부리 홍대본점","서울 마포구 잔다리로6길 40-8 지하 1층 (서교동)","",37.55202175,126.92129833,"2023-04-02 21:57:33"
138,"나주집 태광점","경기 용인시 기흥구 흥덕4로 25 (영덕동)","",37.27400201,127.09054781,"2023-04-03 07:33:15"
139,"어!그래닭갈비","경기 수원시 영통구 산남로 19 (매탄동)","",37.26539852,127.04803535,"2023-04-03 12:51:01"
140,"마이아트뮤지엄","서울 강남구 테헤란로 518 섬유센터빌딩 지하 1층 (대치동)","",37.50758784,127.06057693,"2023-04-03 16:00:04"
141,"원조원주추어탕 강남본점","서울 강남구 강남대로110길 6 (역삼1동)","",37.50404346,127.02547368,"2023-04-03 18:48:05"
142,"고쿠텐 강남역점","서울 강남구 테헤란로4길 32 (역삼동)","",37.49630091,127.03016178,"2023-04-03 18:50:46"
143,"Apple 강남","서울 강남구 강남대로 464 (역삼동)","",37.5036903,127.0253107,"2023-04-03 21:09:28"
144,"섬집","서울 용산구 한강대로14가길 3 1층 (한강로3가)","",37.52439301,126.96538784,"2023-04-03 22:00:25"
145,"어항로","서울 용산구 한강대로52길 17-4 (한강로2가)","",37.53211643,126.97233774,"2023-04-03 22:13:58"
146,"연어로만 논현점","서울 서초구 신반포로 337 1층 (잠원동)","",37.5110038,127.02041341,"2023-04-03 22:15:06"
147,"정성손칼국수","서울 용산구 한강대로48길 18 (한강로2가)","",37.53136116,126.97137183,"2023-04-03 22:17:19"
148,"안골정","전남 목포시 번화로 41-7 (대의동1가)","",34.78674573,126.38411142,"2023-04-04 22:41:37"
